0.5f, 0.40844727f, 0.39424133f, 0.3859024f, 0.37992096f, 0.37467957f, 0.37058973f, 0.36694717f, 0.3635292f, 0.3606987f, 
-0.003311798f, -0.003347762f, -0.003384918f, -0.0034193993f, -0.0034530163f, -0.0034882575f, -0.0035232008f, -0.0035600513f, -0.0035955906f, -0.0036306381f, 
-0.0036671758f, -0.003703922f, -0.0037415028f, -0.0037754923f, -0.0038113073f, -0.0038457513f, -0.003882587f, -0.0039182156f, -0.003952697f, -0.003987193f, 
-0.0040235613f, -0.004057765f, -0.0040934375f, -0.004129283f, -0.0041640997f, -0.004199147f, -0.0042342152f, -0.0042701513f, -0.0043043997f, -0.004338417f, 
-0.004372269f, -0.0044056475f, -0.004440218f, -0.004476549f, -0.0045116246f, -0.004545763f, -0.0045803487f, -0.0046155453f, -0.0046510044f, -0.0046863556f, 
-0.004722595f, -0.0047578216f, -0.004791856f, -0.0048262477f, -0.00486207f, -0.0048960447f, -0.0049325824f, -0.004966706f, -0.0050012767f, -0.0050385688f, 
-0.005074069f, -0.0051085204f, -0.00514555f, -0.0051811934f, -0.005217299f, -0.005252123f, -0.005287856f, -0.0053236485f, -0.0053592324f, -0.005392492f, 
-0.0054245964f, -0.0054602027f, -0.005493865f, -0.005529493f, -0.005564928f, -0.0055992603f, -0.005633831f, -0.0056693554f, -0.005702615f, -0.005739987f, 
-0.005774617f, -0.005810663f, -0.005847253f, -0.0058822036f, -0.0059179068f, -0.0059534237f, -0.005988002f, -0.0060224235f, -0.0060557052f, -0.0060898066f, 
-0.006123841f, -0.0061612427f, -0.0061981827f, -0.0062345266f, -0.006269157f, -0.0063049197f, -0.006342292f, -0.006377995f, -0.0064145923f, -0.0064488947f, 
-0.006483346f, -0.0065190494f, -0.0065541044f, -0.006588958f, -0.0066236258f, -0.0066568106f, -0.006691858f, -0.0067260414f, -0.006761223f, -0.006798029f, 
-0.0068329275f, -0.0068666786f, -0.006899953f, -0.006934881f, -0.0069688857f, -0.007002689f, -0.0070384145f, -0.007076025f, -0.007110536f, -0.007146716f, 
-0.007181227f, -0.0072158873f, -0.0072526895f, -0.0072852857f, -0.0073200427f, -0.0073542595f, -0.007389277f, -0.0074213557f, -0.007457733f, -0.007492423f, 
-0.0075285435f, -0.0075652003f, -0.0076023936f, -0.007639155f, -0.0076733828f, -0.007708937f, -0.007744074f, -0.0077792555f, -0.007816199f, -0.0078520775f, 
-0.007888138f, -0.00792259f, -0.007961988f, -0.007994473f, -0.008029997f, -0.008064091f, -0.008098789f, -0.008132163f, -0.008168638f, -0.008203387f, 
-0.008239128f, -0.008273698f, -0.008308962f, -0.008344203f, -0.008379161f, -0.008414291f, -0.008448392f, -0.0084840655f, -0.008520503f, -0.008556128f, 
-0.008589342f, -0.008624494f, -0.008659512f, -0.008697972f, -0.008732587f, -0.008771636f, -0.008806169f, -0.00883995f, -0.0088739395f, -0.008909702f, 
-0.008945666f, -0.00898236f, -0.009015872f, -0.009049073f, -0.009084433f, -0.009117909f, -0.009153128f, -0.009186447f, -0.009220678f, -0.009255722f, 
-0.00929147f, -0.009326518f, -0.00936234f, -0.009397952f, -0.009433955f, -0.009468041f, -0.009502418f, -0.009537697f, -0.009572595f, -0.009606805f, 
-0.00964126f, -0.009677559f, -0.009713739f, -0.009749472f, -0.009785347f, -0.009820357f, -0.009855866f, -0.0098906215f, -0.009926856f, -0.009963572f, 
-0.009997696f, -0.010033593f, -0.010068482f, -0.010104299f, -0.010140121f, -0.010176867f, -0.010213181f, -0.010249674f, -0.010286976f, -0.010321826f, 
-0.010357462f, -0.010392487f, -0.010427013f, -0.010461748f, -0.0104976f, -0.010533512f, -0.010567471f, -0.010605022f, -0.010639012f, -0.010674149f, 
-0.010708518f, -0.010743171f, -0.010777988f, -0.010814756f, -0.010848612f, -0.010883808f, -0.010919884f, -0.01095593f, -0.010989994f, -0.011025682f, 
-0.01106143f, -0.011098109f, -0.011131978f, -0.011167705f, -0.0112057775f, -0.011241019f, -0.01127702f, -0.011313409f, -0.011348844f, -0.011384904f, 
-0.011419028f, -0.011454701f, -0.01149106f, -0.011526138f, -0.011559263f, -0.011595778f, -0.011631608f, -0.011667684f, -0.011699855f, -0.011737406f, 
-0.011772569f, -0.01180765f, -0.011841893f, -0.011877403f, -0.011912227f, -0.0119487345f, -0.011985287f, -0.012021542f, -0.012060285f, -0.012096256f, 
-0.012132958f, -0.012168169f, -0.012205645f, -0.01224187f, -0.0122766495f, -0.012312114f, -0.0123504475f, -0.012385905f, -0.012422174f, -0.012457997f, 
-0.012495035f, -0.012532137f, -0.012567133f, -0.012602599f, -0.012639761f, -0.0126751065f, -0.012710512f, -0.012749877f, -0.0127872825f, -0.012824506f, 
-0.012861297f, -0.012898352f, -0.012934953f, -0.012968898f, -0.013005316f, -0.013040483f, -0.013076782f, -0.01311373f, -0.013150066f, -0.0131869465f, 
-0.013224214f, -0.013259448f, -0.01329422f, -0.013332099f, -0.013366908f, -0.01340352f, -0.013438702f, -0.013476372f, -0.013513446f, -0.013549387f, 
-0.013586998f, -0.013623893f, -0.013659351f, -0.0136966705f, -0.013732076f, -0.013768196f, -0.013804182f, -0.013842404f, -0.013876796f, -0.013911843f, 
-0.013948128f, -0.013984501f, -0.014020652f, -0.014056325f, -0.014091507f, -0.014128089f, -0.01416412f, -0.014198165f, -0.014233097f, -0.014266662f, 
-0.014303386f, -0.014338255f, -0.014374901f, -0.014410853f, -0.014448941f, -0.014484584f, -0.014521487f, -0.014555573f, -0.014591575f, -0.014625907f, 
-0.0146636665f, -0.014700487f, -0.0147357285f, -0.014772981f, -0.014808243f, -0.014843941f, -0.014879167f, -0.014914721f, -0.014949918f, -0.014983177f, 
-0.015016913f, -0.015053511f, -0.015090197f, -0.015124738f, -0.015161216f, -0.015197024f, -0.015232623f, -0.015268624f, -0.015303995f, -0.015339289f, 
-0.01537627f, -0.015410423f, -0.015447378f, -0.015483886f, -0.015519619f, -0.015558064f, -0.015594978f, -0.015631828f, -0.015667155f, -0.015703056f, 
-0.015740693f, -0.015777528f, -0.0158149f, -0.015851747f, -0.015886545f, -0.015923224f, -0.015959114f, -0.01599577f, -0.016032517f, -0.016069531f, 
-0.016105697f, -0.016141873f, -0.016178481f, -0.01621266f, -0.01624903f, -0.016286314f, -0.01632218f, -0.016358674f, -0.016395628f, -0.016429484f, 
-0.016466677f, -0.016503528f, -0.01653725f, -0.016572028f, -0.016607419f, -0.01664257f, -0.016679823f, -0.016716242f, -0.016751736f, -0.016789794f, 
-0.016825363f, -0.016862035f, -0.016897261f, -0.01693295f, -0.016969174f, -0.017004848f, -0.017041475f, -0.01707834f, -0.017116364f, -0.017153021f, 
-0.01719004f, -0.017226338f, -0.017263606f, -0.017298996f, -0.01733534f, -0.01737155f, -0.01741016f, -0.017446518f, -0.0174838f, -0.017520636f, 
-0.017557546f, -0.017593324f, -0.017629027f, -0.01766628f, -0.0177009f, -0.017736733f, -0.01777348f, -0.017809391f, -0.017847061f, -0.017882943f, 
-0.01791913f, -0.01795435f, -0.017988503f, -0.018025637f, -0.018061534f, -0.018099666f, -0.018136978f, -0.018173933f, -0.018212348f, -0.018247664f, 
-0.018285662f, -0.018320993f, -0.018358111f, -0.018394679f, -0.018431515f, -0.018470645f, -0.01850596f, -0.018543392f, -0.018580183f, -0.018616319f, 
-0.01865521f, -0.018691063f, -0.018725872f, -0.018762797f, -0.018799268f, -0.018834233f, -0.018869784f, -0.018907428f, -0.018944683f, -0.018981576f, 
-0.019017369f, -0.019054905f, -0.019091964f, -0.019128472f, -0.01916394f, -0.019201279f, -0.019238353f, -0.019274235f, -0.019309904f, -0.019346207f, 
-0.019383088f, -0.01942125f, -0.01945886f, -0.019496948f, -0.019533634f, -0.019570105f, -0.01960659f, -0.019643933f, -0.019681007f, -0.01971817f, 
-0.01975441f, -0.019791186f, -0.019827679f, -0.019863904f, -0.01990062f, -0.019936636f, -0.019973695f, -0.020009607f, -0.020046392f, -0.020082556f, 
-0.020119965f, -0.020159222f, -0.020195648f, -0.020232618f, -0.020268619f, -0.020303372f, -0.020340502f, -0.02037716f, -0.020413429f, -0.020449877f, 
-0.020486653f, -0.020523697f, -0.02056241f, -0.0206002f, -0.020636857f, -0.020673066f, -0.02071029f, -0.020747907f, -0.020782545f, -0.02081865f, 
-0.020856261f, -0.020892128f, -0.02093029f, -0.020966679f, -0.021003425f, -0.021039426f, -0.021075986f, -0.021113932f, -0.021149985f, -0.021186456f, 
-0.02122441f, -0.021259546f, -0.021296382f, -0.02133274f, -0.021367908f, -0.02140427f, -0.02143979f, -0.021474719f, -0.02151376f, -0.021551609f, 
-0.02158755f, -0.02162382f, -0.02166053f, -0.021696419f, -0.021734498f, -0.021770045f, -0.021806315f, -0.021841884f, -0.021879673f, -0.021916792f, 
-0.021953225f, -0.021990508f, -0.022026941f, -0.022062182f, -0.022096932f, -0.02213493f, -0.022171259f, -0.022209257f, -0.02224505f, -0.022280872f, 
-0.022316247f, -0.022352155f, -0.022387862f, -0.022424221f, -0.02246049f, -0.022498801f, -0.022536457f, -0.022574006f, -0.022611812f, -0.022649184f, 
-0.02268669f, -0.022723675f, -0.022758842f, -0.022796452f, -0.022833109f, -0.022868276f, -0.022904225f, -0.02294308f, -0.022981048f, -0.023019075f, 
-0.023056284f, -0.0230937f, -0.023129225f, -0.023165792f, -0.02320394f, -0.023240149f, -0.023277923f, -0.023313463f, -0.023352161f, -0.023388535f, 
-0.023423702f, -0.023459166f, -0.023494959f, -0.02353084f, -0.023567796f, -0.023604989f, -0.023641467f, -0.023679458f, -0.023715325f, -0.023752809f, 
-0.023789048f, -0.02382509f, -0.023862302f, -0.023896575f, -0.02393204f, -0.023970641f, -0.02400656f, -0.024043202f, -0.024080932f, -0.024116993f, 
-0.024152815f, -0.024190664f, -0.024229825f, -0.024266869f, -0.024301738f, -0.024338901f, -0.024375737f, -0.024411343f, -0.024448812f, -0.024486184f, 
-0.024524122f, -0.024564743f, -0.024600863f, -0.024636745f, -0.024671823f, -0.024710923f, -0.024746448f, -0.024781466f, -0.024817482f, -0.024853766f, 
-0.024889752f, -0.024926208f, -0.024963606f, -0.025002524f, -0.025039554f, -0.025078123f, -0.025114283f, -0.025150508f, -0.025189757f, -0.025227904f, 
-0.025263235f, -0.025301129f, -0.025337398f, -0.02537559f, -0.025412321f, -0.025450371f, -0.025488675f, -0.025525667f, -0.025562212f, -0.025600314f, 
-0.025638938f, -0.02567546f, -0.025712788f, -0.025753167f, -0.025790364f, -0.0258286f, -0.025865912f, -0.025903255f, -0.025939822f, -0.02597642f, 
-0.026014209f, -0.02605319f, -0.02609098f, -0.02612847f, -0.02616632f, -0.026203752f, -0.0262409f, -0.026278444f, -0.026314497f, -0.026350737f, 
-0.026389003f, -0.026426077f, -0.026463568f, -0.02649784f, -0.026535153f, -0.026575267f, -0.026614197f, -0.026649341f, -0.026686922f, -0.02672422f, 
-0.026762158f, -0.026797533f, -0.026833043f, -0.026869416f, -0.026909888f, -0.0269479f, -0.026986241f, -0.027023554f, -0.027062617f, -0.027100444f, 
-0.027138025f, -0.027176797f, -0.027213633f, -0.027250946f, -0.027288955f, -0.027325079f, -0.0273602f, -0.027395822f, -0.027435243f, -0.02747313f, 
-0.02751167f, -0.027548805f, -0.027583957f, -0.027622208f, -0.027658284f, -0.027697295f, -0.027735293f, -0.027773466f, -0.027809024f, -0.027846146f, 
-0.027884007f, -0.027920928f, -0.027959466f, -0.027997479f, -0.028035372f, -0.028075725f, -0.028113216f, -0.028150737f, -0.028189763f, -0.02822572f, 
-0.028263688f, -0.028303817f, -0.028340042f, -0.02837865f, -0.028417021f, -0.028452188f, -0.02848944f, -0.028527886f, -0.02856481f, -0.028602839f, 
-0.02864179f, -0.02867803f, -0.028713256f, -0.028751343f, -0.028788492f, -0.02882677f, -0.028864145f, -0.028898329f, -0.028935969f, -0.028974831f, 
-0.029013142f, -0.029050004f, -0.029088095f, -0.029125184f, -0.02916208f, -0.029202282f, -0.029239684f, -0.029277734f, -0.02931279f, -0.029351175f, 
-0.029388607f, -0.029426515f, -0.029463977f, -0.0295026f, -0.02953875f, -0.029577315f, -0.029615045f, -0.029650986f, -0.029688321f, -0.02972719f, 
-0.029764712f, -0.029801488f, -0.02983804f, -0.029874682f, -0.02991271f, -0.029950105f, -0.02998513f, -0.030022219f, -0.030059334f, -0.030096412f, 
-0.030133426f, -0.030169964f, -0.03020706f, -0.030244753f, -0.030281305f, -0.030319393f, -0.03035884f, -0.030397177f, -0.030434346f, -0.030472457f, 
-0.030508772f, -0.030545503f, -0.030583322f, -0.030622452f, -0.030661214f, -0.030699119f, -0.030736286f, -0.030774668f, -0.030810907f, -0.03084658f, 
-0.030885339f, -0.030921847f, -0.030961255f, -0.030999724f, -0.031038105f, -0.031074107f, -0.03111212f, -0.031150416f, -0.031187415f, -0.031224333f, 
-0.03126043f, -0.03129761f, -0.031336576f, -0.031372905f, -0.031410784f, -0.03144729f, -0.03148678f, -0.031526506f, -0.031564713f, -0.031603545f, 
-0.03164264f, -0.031679854f, -0.031717494f, -0.031756107f, -0.031794924f, -0.03183286f, -0.031872958f, -0.03191214f, -0.031949036f, -0.031984523f, 
-0.032022834f, -0.032060146f, -0.032098934f, -0.03213875f, -0.032177493f, -0.032214515f, -0.032251775f, -0.03228882f, -0.032327272f, -0.032365732f, 
-0.032402787f, -0.032438844f, -0.03247682f, -0.032515198f, -0.03255394f, -0.032590732f, -0.032627076f, -0.032664865f, -0.032705665f, -0.032742463f, 
-0.032780647f, -0.032818466f, -0.03285943f, -0.03289765f, -0.032935143f, -0.03297253f, -0.033010155f, -0.033048242f, -0.033084393f, -0.03312254f, 
-0.033158988f, -0.033195615f, -0.03323418f, -0.033272758f, -0.033310384f, -0.03334844f, -0.033387065f, -0.033425033f, -0.033462238f, -0.033501618f, 
-0.033540376f, -0.03357792f, -0.03361526f, -0.033653557f, -0.033691645f, -0.033728898f, -0.033765554f, -0.033801317f, -0.03383875f, -0.033879846f, 
-0.033918023f, -0.033956543f, -0.033993673f, -0.034031123f, -0.034068584f, -0.034107625f, -0.034146786f, -0.034184754f, -0.03422326f, -0.034261413f, 
-0.03429714f, -0.034336254f, -0.034375153f, -0.034411475f, -0.034450054f, -0.03448884f, -0.034525722f, -0.034561515f, -0.034597844f, -0.03463547f, 
-0.03467405f, -0.03471276f, -0.034750044f, -0.034786165f, -0.03482586f, -0.034865677f, -0.03490293f, -0.034939364f, -0.034977674f, -0.035016537f, 
-0.03505604f, -0.035095215f, -0.03513235f, -0.035169363f, -0.035206914f, -0.035245f, -0.03528118f, -0.03532002f, -0.03535741f, -0.03539431f, 
-0.03543198f, -0.035469353f, -0.035505276f, -0.035544716f, -0.035586327f, -0.035625793f, -0.03566298f, -0.0357022f, -0.03574097f, -0.03577788f, 
-0.03581532f, -0.035852507f, -0.035889864f, -0.0359281f, -0.035965696f, -0.036003172f, -0.03604035f, -0.036078572f, -0.036116004f, -0.036154993f, 
-0.036194354f, -0.036231756f, -0.036272258f, -0.036311135f, -0.036349893f, -0.036387682f, -0.03642711f, -0.036467016f, -0.036506966f, -0.03654492f, 
-0.03658247f, -0.03662041f, -0.03665757f, -0.036696315f, -0.036735177f, -0.036772132f, -0.036810458f, -0.03684947f, -0.03688824f, -0.03692606f, 
-0.036964566f, -0.03700161f, -0.037041485f, -0.03708084f, -0.03712094f, -0.03716135f, -0.037201256f, -0.037240744f, -0.03727895f, -0.037317485f, 
-0.037355423f, -0.037393957f, -0.037430525f, -0.03746891f, -0.03750825f, -0.03754556f, -0.03758448f, -0.037622333f, -0.03766024f, -0.037701845f, 
-0.03773904f, -0.037777707f, -0.037815586f, -0.03785634f, -0.037892997f, -0.03793241f, -0.037973166f, -0.0380112f, -0.038050428f, -0.038087636f, 
-0.038126886f, -0.03816399f, -0.03820026f, -0.038238823f, -0.038279623f, -0.038318306f, -0.03835594f, -0.038395703f, -0.038433984f, -0.038472652f, 
-0.038512588f, -0.038551703f, -0.038589478f, -0.03862703f, -0.038665652f, -0.038702965f, -0.03873989f, -0.0387792f, -0.038818687f, -0.038856268f, 
-0.038893104f, -0.03893125f, -0.038970113f, -0.039010018f, -0.03904885f, -0.03908722f, -0.039124716f, -0.03916289f, -0.039200496f, -0.03923895f, 
-0.039277397f, -0.039315216f, -0.03935563f, -0.039394923f, -0.039432734f, -0.039470024f, -0.03950879f, -0.039547563f, -0.03958625f, -0.039626665f, 
-0.039665714f, -0.03970349f, -0.039744496f, -0.039782643f, -0.03982067f, -0.039858826f, -0.03989789f, -0.039935753f, -0.03997261f, -0.040011186f, 
-0.040050447f, -0.040089726f, -0.040127896f, -0.04016745f, -0.040204525f, -0.04024151f, -0.04028026f, -0.04031825f, -0.040358867f, -0.040398717f, 
-0.04043591f, -0.040475726f, -0.040513635f, -0.040552318f, -0.040590797f, -0.040629864f, -0.04066801f, -0.040706813f, -0.040746152f, -0.040784687f, 
-0.040822744f, -0.040860534f, -0.04090035f, -0.04094012f, -0.04097721f, -0.041014493f, -0.04105474f, -0.04109347f, -0.041131705f, -0.04116916f, 
-0.0412091f, -0.041246295f, -0.04128471f, -0.04132241f, -0.04136163f, -0.04139775f, -0.041436575f, -0.041475117f, -0.04151416f, -0.041552722f, 
-0.041591763f, -0.04163021f, -0.041668236f, -0.041706085f, -0.041746438f, -0.04178554f, -0.0418227f, -0.04186171f, -0.041903168f, -0.041941285f, 
-0.041982703f, -0.04202065f, -0.042057157f, -0.042095363f, -0.04213518f, -0.042174347f, -0.042213142f, -0.042251706f, -0.04229133f, -0.042330384f, 
-0.042370833f, -0.042410254f, -0.04244925f, -0.04248795f, -0.042525887f, -0.0425649f, -0.042605884f, -0.042644203f, -0.042684704f, -0.042722553f, 
-0.04275942f, -0.04280007f, -0.042838015f, -0.042876154f, -0.042915866f, -0.04295495f, -0.04299237f, -0.043028712f, -0.043068975f, -0.043107778f, 
-0.043145947f, -0.04318428f, -0.043224096f, -0.043262452f, -0.043301567f, -0.04334026f, -0.043380022f, -0.043420196f, -0.04345958f, -0.043497324f, 
-0.04353538f, -0.043575108f, -0.043614745f, -0.04365164f, -0.043689013f, -0.043726802f, -0.043767005f, -0.043806195f, -0.04384739f, -0.043886185f, 
-0.043924753f, -0.04396406f, -0.044002265f, -0.044044256f, -0.044082657f, -0.04412145f, -0.044158638f, -0.044197813f, -0.044237405f, -0.04427588f, 
-0.044314414f, -0.0443537f, -0.04439205f, -0.04442954f, -0.044466503f, -0.04450537f, -0.04454434f, -0.0445839f, -0.04462433f, -0.044662673f, 
-0.044700265f, -0.04473874f, -0.04477629f, -0.044814646f, -0.04485607f, -0.04489538f, -0.044933736f, -0.044973016f, -0.045012355f, -0.04505092f, 
-0.04509014f, -0.045129687f, -0.045168154f, -0.045206636f, -0.045244407f, -0.04528436f, -0.04532236f, -0.04535979f, -0.045396864f, -0.04543823f, 
-0.04547751f, -0.04552029f, -0.045556813f, -0.04559593f, -0.045636624f, -0.045676082f, -0.045713767f, -0.04575336f, -0.045792162f, -0.045829587f, 
-0.04587096f, -0.045909077f, -0.04594636f, -0.045983195f, -0.046023607f, -0.046061277f, -0.046101183f, -0.046138704f, -0.04618004f, -0.04621911f, 
-0.046259344f, -0.046298996f, -0.046337634f, -0.04637596f, -0.0464167f, -0.046455994f, -0.04649371f, -0.04653281f, -0.046572894f, -0.046611965f, 
-0.0466516f, -0.046691418f, -0.0467301f, -0.04676971f, -0.04680872f, -0.046848357f, -0.046886086f, -0.046925083f, -0.046962976f, -0.04700333f, 
-0.047042936f, -0.047081783f, -0.047119584f, -0.047158897f, -0.047199667f, -0.047238573f, -0.047279596f, -0.04731798f, -0.047358155f, -0.047399044f, 
-0.047437847f, -0.047476172f, -0.047516003f, -0.047555447f, -0.04759264f, -0.04763025f, -0.04766883f, -0.04770595f, -0.04774365f, -0.047785573f, 
-0.047825813f, -0.04786527f, -0.047903717f, -0.047942996f, -0.04798372f, -0.048024192f, -0.04806468f, -0.04810427f, -0.04814303f, -0.04818347f, 
-0.048223376f, -0.048262298f, -0.04830259f, -0.04834193f, -0.04838407f, -0.048425496f, -0.048466742f, -0.048506707f, -0.048545443f, -0.0485844f, 
-0.048624277f, -0.04866472f, -0.048706204f, -0.04874569f, -0.04878681f, -0.04882677f, -0.04886636f, -0.048906088f, -0.048944294f, -0.04898245f, 
-0.049020946f, -0.049061418f, -0.049101293f, -0.049141526f, -0.049182534f, -0.04922477f, -0.04926449f, -0.049304366f, -0.04934466f, -0.049385414f, 
-0.049427032f, -0.049469188f, -0.049507737f, -0.0495487f, -0.049587905f, -0.049627095f, -0.04966739f, -0.04970622f, -0.049746394f, -0.049784884f, 
-0.04982497f, -0.04986407f, -0.04990396f, -0.04994327f, -0.04998508f, -0.050024092f, -0.05006516f, -0.0501049f, -0.05014512f, -0.050185725f, 
-0.05022514f, -0.050265685f, -0.05030474f, -0.05034336f, -0.050384164f, -0.05042368f, -0.050463356f, -0.05050236f, -0.050545484f, -0.05058223f, 
-0.05062306f, -0.050661623f, -0.050702274f, -0.05074209f, -0.050781906f, -0.050823927f, -0.050864905f, -0.05090362f, -0.050945103f, -0.050984174f, 
-0.0510237f, -0.05106306f, -0.051100552f, -0.051141143f, -0.051182017f, -0.05122429f, -0.0512628f, -0.051301345f, -0.051340103f, -0.05137883f, 
-0.051420406f, -0.0514576f, -0.051500544f, -0.05154045f, -0.051581234f, -0.051620662f, -0.05166161f, -0.05170214f, -0.051740408f, -0.05178149f, 
-0.05182171f, -0.051861167f, -0.051904112f, -0.05194509f, -0.05198594f, -0.05202633f, -0.052065164f, -0.052105963f, -0.052144915f, -0.052184522f, 
-0.05222535f, -0.052265048f, -0.052305043f, -0.05234298f, -0.0523836f, -0.05242315f, -0.05246252f, -0.052502066f, -0.05254391f, -0.05258317f, 
-0.05262214f, -0.05266103f, -0.052700363f, -0.052740544f, -0.052781463f, -0.05282086f, -0.052860856f, -0.052899778f, -0.05294159f, -0.052981377f, 
-0.053020433f, -0.053060472f, -0.053099036f, -0.053138733f, -0.053177923f, -0.053215846f, -0.05325467f, -0.05329472f, -0.05333279f, -0.053371906f, 
-0.053412586f, -0.053453684f, -0.053492606f, -0.05353263f, -0.0535718f, -0.0536139f, -0.053653657f, -0.053693477f, -0.053734645f, -0.053776145f, 
-0.053815402f, -0.053854764f, -0.053894818f, -0.053934872f, -0.05397539f, -0.054015517f, -0.054053187f, -0.054091647f, -0.054133274f, -0.054173693f, 
-0.054215193f, -0.05425334f, -0.05429244f, -0.0543318f, -0.05437073f, -0.054410957f, -0.05445394f, -0.054494143f, -0.054535806f, -0.054575145f, 
-0.05461514f, -0.05465579f, -0.054697156f, -0.054737806f, -0.05477909f, -0.05482088f, -0.05486369f, -0.05490488f, -0.054947287f, -0.054988563f, 
-0.055029087f, -0.055068254f, -0.05510986f, -0.055153728f, -0.055194497f, -0.05523312f, -0.055273782f, -0.055313885f, -0.055355966f, -0.055395544f, 
-0.05543576f, -0.055477567f, -0.055517063f, -0.055558383f, -0.055600643f, -0.055639416f, -0.055680156f, -0.05572007f, -0.055760503f, -0.055800185f, 
-0.05583954f, -0.05587852f, -0.055917084f, -0.055957913f, -0.055999294f, -0.056040287f, -0.05607891f, -0.056122806f, -0.056162357f, -0.056204706f, 
-0.05624497f, -0.056285024f, -0.056325495f, -0.056366563f, -0.056407154f, -0.05644838f, -0.056488156f, -0.056527138f, -0.056566477f, -0.056607306f, 
-0.056646317f, -0.05668637f, -0.056728803f, -0.056768607f, -0.056808293f, -0.056847095f, -0.05688659f, -0.056927204f, -0.056966633f, -0.05700445f, 
-0.05704543f, -0.057085276f, -0.05712545f, -0.057165176f, -0.05720508f, -0.05724659f, -0.057287604f, -0.05732712f, -0.057364725f, -0.057403684f, 
-0.057444997f, -0.05748634f, -0.05752781f, -0.05756834f, -0.057608247f, -0.05764824f, -0.05768793f, -0.057726867f, -0.05776789f, -0.057807893f, 
-0.057848863f, -0.057890654f, -0.057932794f, -0.057972282f, -0.05801487f, -0.05805528f, -0.05809605f, -0.05813706f, -0.058177173f, -0.05821421f, 
-0.05825363f, -0.058294773f, -0.058336012f, -0.058377087f, -0.058417678f, -0.058457136f, -0.058495402f, -0.058535546f, -0.058575124f, -0.058615953f, 
-0.058658168f, -0.05869724f, -0.05873537f, -0.058775842f, -0.058818102f, -0.05885881f, -0.058901414f, -0.058942452f, -0.05898471f, -0.059026003f, 
-0.05906561f, -0.05910498f, -0.05914659f, -0.05918856f, -0.05922871f, -0.05926907f, -0.05930897f, -0.059351414f, -0.05939129f, -0.05943203f, 
-0.05947286f, -0.05951482f, -0.059553042f, -0.059592843f, -0.05963385f, -0.05967295f, -0.059712943f, -0.059755564f, -0.059793934f, -0.05983521f, 
-0.0598765f, -0.059916496f, -0.05995726f, -0.059996247f, -0.060037132f, -0.060079202f, -0.060119078f, -0.060158193f, -0.060198247f, -0.06023845f, 
-0.060279965f, -0.060319602f, -0.060359716f, -0.06040103f, -0.06044078f, -0.06047973f, -0.06052208f, -0.060562953f, -0.060604095f, -0.060643673f, 
-0.06068497f, -0.060723618f, -0.060764953f, -0.060805798f, -0.0608474f, -0.060886253f, -0.060927153f, -0.06096852f, -0.06100881f, -0.061050832f, 
-0.061091334f, -0.061130118f, -0.061171904f, -0.06121397f, -0.061254807f, -0.0612968f, -0.06133675f, -0.06137538f, -0.061417922f, -0.061459124f, 
-0.061498314f, -0.06153962f, -0.061581165f, -0.061622024f, -0.061662868f, -0.061703354f, -0.06174457f, -0.061787337f, -0.061827987f, -0.061868057f, 
-0.061907116f, -0.0619487f, -0.061990477f, -0.06203185f, -0.06207411f, -0.06211394f, -0.062154174f, -0.062196225f, -0.062235743f, -0.062276185f, 
-0.062316775f, -0.062360168f, -0.06240159f, -0.06244278f, -0.062482417f, -0.06252268f, -0.062565744f, -0.06260732f, -0.06264752f, -0.062687576f, 
-0.06272933f, -0.06277147f, -0.06281099f, -0.06285103f, -0.06289178f, -0.06293237f, -0.06297293f, -0.06301403f, -0.06305349f, -0.06309676f, 
-0.06313908f, -0.063178346f, -0.06321955f, -0.06326017f, -0.06330031f, -0.06333941f, -0.06338048f, -0.063421786f, -0.063462764f, -0.06350293f, 
-0.06354225f, -0.06358594f, -0.06362891f, -0.06366956f, -0.06371248f, -0.06375283f, -0.06379402f, -0.06383389f, -0.063874066f, -0.063916504f, 
-0.06395787f, -0.063996375f, -0.064035416f, -0.06407696f, -0.06411806f, -0.06415808f, -0.06419891f, -0.06424254f, -0.064282686f, -0.06432316f, 
-0.06436294f, -0.06440218f, -0.06444234f, -0.064484894f, -0.06452659f, -0.06456743f, -0.064609766f, -0.06465119f, -0.06469262f, -0.064735934f, 
-0.06477658f, -0.06482038f, -0.06486148f, -0.06490335f, -0.06494103f, -0.06498334f, -0.06502548f, -0.0650695f, -0.06510955f, -0.06514847f, 
-0.06518972f, -0.06523013f, -0.065273285f, -0.06531525f, -0.06535587f, -0.06539875f, -0.06544003f, -0.0654825f, -0.06552452f, -0.06556597f, 
-0.0656085f, -0.065650836f, -0.06569041f, -0.065731496f, -0.06577173f, -0.06581278f, -0.06585473f, -0.06589484f, -0.06593704f, -0.065979764f, 
-0.06602275f, -0.06606239f, -0.0661052f, -0.066149f, -0.06618987f, -0.0662297f, -0.06626928f, -0.066311255f, -0.066352755f, -0.066394635f, 
-0.06643695f, -0.06647755f, -0.06651983f, -0.06655942f, -0.06659964f, -0.06664072f, -0.06668244f, -0.0667229f, -0.0667653f, -0.06680803f, 
-0.06684774f, -0.06688732f, -0.06692821f, -0.06696817f, -0.06700826f, -0.0670514f, -0.06709329f, -0.067131445f, -0.06717261f, -0.06721586f, 
